project_id,project_name,methodologyorprotocol,fully_harmonized_methodologyorprotocol,region,voluntary_registry,type_from_registry,project_developer,arborwa_project,type,rule-based_type_mapping_first
CAR905,Coolgas US ODS Project 1,CAR U.S. Ozone Depleting Substances Protocol,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,CAR,Ozone Depleting Substances - U.S.,"COOLGAS, INC.",Early Action,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
GS663,ARALIK HEPP ,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,"Small, Low - Impact Hydro",RESADIYE HAMZALI ELEKTRIK ÜRETIM SANAYI VE TICARET ANONIM SIRKETI,No,Hydropower,Hydropower
GS12637,ATBL Bio-CNG Project In Barsana,AMS-III.D.,AMS-III.D. Methane recovery in animal manure management systems, ,GOLD,Energy Efficiency - Transport Sector,Kosher Climate India Pvt Ltd.,No,Manure Methane Digester,Manure Methane Digester
CAR474,Bridgewater Dairy LLC,CAR U.S. Livestock Protocol,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems, ,CAR,Livestock Gas Capture/Combustion,"Camco International Group, Inc.",Early Action,Manure Methane Digester,Manure Methane Digester
GS951,VIZARA 8.9MW HYDROELECTRIC POWER PLANT,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,"Small, Low - Impact Hydro",Nous Energy Consult & Trade Ltd.,No,Hydropower,Hydropower
GS10529,Baglama Wind Power Project Turkey ,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Fina Enerji Holding A.Ş.,No,Wind,Wind
VCS977,RMDLT Portel - Para REDD Project,VM0015,VM0015 Methodology for Avoided Unplanned Deforestation,Latin America,VCS,Agriculture Forestry and Other Land Use,RMDLT Property Group Ltd.,No,REDD+, 
VCS4308,Installation of high efficiency wood burning cookstoves in Angola – Project 3,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Africa,VCS,Energy demand,C-Quest Capital SG Angola Stoves Private Limited,No,Cookstoves, 
GS2414,Xifeng and Xiuwen Rural Biogas Methane Project in Guizhou Province,AMS-I.C.,AMS-I.C. Thermal energy production with or without electricity, ,GOLD,Biogas - Heat,Guizhou Honor Carbon Asset Management Co. Ltd,No,Biodigesters, 
VCS4780,Sichuan Ganluo IFM (conversion of logged to protected forest) Project,VM0010,VM0010 Methodology for Improved Forest Management: Conversion from Logged to Protected Forest,Asia,VCS,Agriculture Forestry and Other Land Use,"Chengdu Haisha Technology Co.,Ltd.",No,Improved Forest Management,Improved Forest Management
GS5034,GS1247 VPA 62 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,CO2balance UK ltd,No,Community Boreholes, 
GS7366,GS1247 VPA 187 Lango Safe Water Project,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,CO2balance UK ltd,No,Clean Water, 
VCS2782,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-024,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Africa,VCS,Energy demand,Korea Carbon Management Ltd,No,Cookstoves, 
VCS3338,Yan’an Wuqi Afforestation Project,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Asia,VCS,Agriculture Forestry and Other Land Use,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS1873,N2O ABATEMENT PROJECT AT AEL 9_,AM0034;ACM0019,AM0034 Catalytic reduction of N2O inside the ammonia burner of nitric acid plants;ACM0019 N2O abatement from nitric acid production,Africa,VCS,Chemical industry,Multiple Proponents,No,N2O Destruction in Nitric Acid Production,N2O Destruction in Nitric Acid Production
GS7468,300 MW Wind Energy Project by Green Infra Wind Energy Limited,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Sembcorp Green Infra Limited,No,Wind,Wind
VCS4026,Angola Caraculo PV Plant,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Africa,VCS,Energy industries (renewable/non-renewable sources),Solenova Ltd,No,Solar - Centralized, 
VCS858,"10.2 MW Grid Connected Wind Energy Project in Gujarat, India",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Wind,Wind
VCS1392,Cajambre REDD+ Project,VM0006,VM0006 Methodology for Carbon Accounting for Mosaic and Landscape-scale REDD Projects,Latin America,VCS,Agriculture Forestry and Other Land Use,Consejo Comunitario de Cajambre,No,REDD+, 
VCS4745,Henan CP Group Swine Farm Biogas Recovery and Utilization Project,AMS-III.D.,AMS-III.D. Methane recovery in animal manure management systems,Asia,VCS,"Livestock, enteric fermentation, and manure management","Hainan Senyou Environmental Technology Co.,Ltd",No,Manure Methane Digester,Manure Methane Digester
VCS2338,"TIST Program in Kenya, VCS-CCB 010",AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,Africa,VCS,Agriculture Forestry and Other Land Use,Clean Air Action Corporation,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS303,"Positive Climate Care 9.75 MW Bundled Wind Power Project Activity by Savita Oil Technologies Ltd. & its group companies in the state of Maharashtra, India",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Savita Oil Technologies Limited,No,Wind,Wind
ACR184,EOS ACR 2013,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,EOS Climate Inc,Early Action,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
VCS2729,Guizhou Xingren IFM (conversion of logged to protected forest) Project,VM0010,VM0010 Methodology for Improved Forest Management: Conversion from Logged to Protected Forest,Asia,VCS,Agriculture Forestry and Other Land Use,Xingren Lishuping State owned Forest Farm,No,Improved Forest Management,Improved Forest Management
CAR1101,Vander Haak Dairy COP,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems, ,CAR,Livestock - ARB Compliance,ClimeCo LLC,Compliance,Manure Methane Digester,Manure Methane Digester
ACR631,Hudson Technologies HFC Reclamation Project Ontario 2020,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants", ,ACR,Industrial Process Emissions,Hudson Technologies Company,No,HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR577,Tradewater ODS 35,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,"Tradewater, LLC",Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
VCS1843,100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Giriraj Renewables Private Limited,No,Solar - Centralized, 
ACR760,Fielding Environmental HFC Reclamation Offset Project - 2020,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants", ,ACR,Industrial Process Emissions,Blue Source,No,HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
VCS3283,ASYA LALE BIOGAS PROJECT,AM0073,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,Middle East,VCS,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",Multiple Proponents,No,Manure Methane Digester, 
VCS603,Sirma Run-of-River Hydro Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Middle East,VCS,Energy industries (renewable/non-renewable sources),Beyobasi Enerji Uretimi A.S.,No,Hydropower,Hydropower
GS10923,GS1340 - Efficient cookstoves in Burkina Faso – tiipaalga F3PA cookstoves in Center-South Protected Areas - VPA-19,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,Tiipaalga,No,Cookstoves,Cookstoves
ACR669,New Future Abandoned Mine Methane Recovery Project,ARB Compliance Offset Protocol: Mine Methane Capture Projects,ARB Compliance Offset Protocol: Mine Methane Capture Projects, ,ACR,Coal Mine Methane,Keyrock Environment LLC,Compliance,Mine Methane Capture,Mine Methane Capture
VCS893,Kale HES Hydro Power Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Middle East,VCS,Energy industries (renewable/non-renewable sources),Kale Enerji Üretim Ticaret Sanayi A.S.,No,Hydropower,Hydropower
GS5018,GS1205 Sustainable Energy for Development PoA VPA 8: Improved Cook Stove Project in the Comoros,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Commercial Sector,Initiative Developpement,No,Cookstoves, 
CAR1654,Reforesting the Land of the Jaguar,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,PLANALTO S.P.R. DE R.L.,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS1536,Grid Connected Solar Power Project at Rajasthan by Roha Dychem Private Limited,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Roha Dyechem Private Limited,No,Solar - Centralized, 
CAR1693,Heartland Ranch Phase 4,CAR U.S. Grassland Protocol,CAR U.S. Grassland Protocol, ,CAR,Avoided Grassland Conversion,Southern Plains Land Trust,No,Avoided Grassland Conversion,Avoided Grassland Conversion
VCS1782,"Solar PV Power Project by Prayatna Developers Pvt. Ltd. at Bhatinda, Punjab",ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Prayatna Developers Private Limited,No,Solar - Centralized, 
GS2460,The CDQ Project in Tranvic Group,ACM0012,ACM0012 Waste energy recovery, ,GOLD,Energy Efficiency - Industrial,Goldchina Consultancy International Co. Ltd,No,Waste Heat Recovery, 
VCS1369,"Scitus Luzhou Cement Co., Ltd WHR Power Generation Project (9MW)",ACM0012,ACM0012 Waste energy recovery,Asia,VCS,Energy industries (renewable/non-renewable sources); Manufacturing industries,"Scitus Luzhou Cement Co., Ltd",No,Waste Heat Recovery,Waste Heat Recovery
VCS3130,Shangcai Xima Biogas Recovery and Utilization Project,ACM0010,"ACM0010 GHG emission reductions from manure management systems
",Asia,VCS,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal","Shangcai Agro-pastoral Co., Ltd.",No,Manure Methane Digester, 
GS505,Honiton Energy Bailingmiao Phase Two Windfarm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Camco Voluntary Credits Ltd,No,Wind,Wind
VCS1696,22.5 MW Bhilangana Hydro Power Project (BHPP) - CER Conversion,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Credits transferred from approved GHG program,No,Hydropower,Hydropower
GS905,Sah Wind Power Plant,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Cagla Balci Eris,No,Wind,Wind
GS12225,Oslomej Solar Power Plant ,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Other,GAİA CLİMATE FİNANSAL DANIŞMANLIK HİZMETLERİ VE TİCARET ANONİM ŞİRKETİ,No,Solar - Centralized, 
GS11046,GS1247 VPA 266 - Burkina Faso Safe Water,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,CO2balance UK ltd,No,Clean Water, 
VCS540,CGN Inner Mongolia Huitengliang Phase I Wind Farm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"CGN Wind Power CO.,Ltd.",No,Wind,Wind
GS11662,Gazisehir LFG Utilization Project,ACM0001,ACM0001 Flaring or use of landfill gas, ,GOLD,Biogas - Electricity,CEV Enerji retim Sanayi ve Ticaret Limited _irket,No,Landfill Methane,Landfill Methane
GS2088,Incesu WPP,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Sekans Danışmanlık,No,Wind,Wind
GS1338,GS1302 MicroScale Solar Photovoltaic Programme VPA1,AMS-I.L.,AMS-I.L. Electrification of rural communities using renewable energy, ,GOLD,Solar Thermal - Electricity,CO2balance UK ltd,No,Solar Lighting, 
GS872,Cataloluk HEPP,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,"Small, Low - Impact Hydro",GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,No,Hydropower,Hydropower
VCS4473,Karidja forest restoration project,Methodology Under Development,Methodology Under Development,Africa,VCS,Agriculture Forestry and Other Land Use,aDryada,No,Afforestation/Reforestation, 
GS10988,GS5658 VPA 31: Improved Cookstoves for Environmental Conservation in Southern Ethiopia,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,Carbonsink (Carbonsink Group S.r.l.),No,Cookstoves,Cookstoves
VCS3279,IDCOL Improved Cook Stove Program - CER Conversion,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass,Asia,VCS,Energy demand,Infrastructure Development Company Limited,No,Cookstoves, 
CAR1127,District 45 Dairy,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems, ,CAR,Livestock - ARB Compliance,"Camco Offsets I, LLC",Compliance,Manure Methane Digester,Manure Methane Digester
VCS2503,Liling LFG Power Generation Project,ACM0001,ACM0001 Flaring or use of landfill gas,Asia,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,"Zhuzhou Xinzhongshui Environmental Protection Technology Co., Ltd.",No,Landfill Methane,Landfill Methane
GS10822,Barry Callebaut Dairy,Other,Other, ,GOLD,Other,Barry Callebaut,No,Feed Additives, 
VCS1139,"15 MW Wind energy farm at Gopalpura, Karnataka by HZL",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Hindustan Zinc Limited,No,Wind,Wind
VCS3648,"Fengxi Geothermal Space Heating Project in Xi’an city, Shaanxi Province",AM0072,AM0072 Fossil fuel displacement by geothermal resources for space heating,Asia,VCS,Energy industries (renewable/non-renewable sources),"Shaanxi Province Xixian new district Fengxi New Town Energy Development Co., Ltd.",No,Geothermal,Geothermal
GS4530,6 MW Solar Power Project by Arhyama Solar Power,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,Solar Thermal - Electricity,EKI Energy Services Limited,No,Solar - Centralized,Solar - Centralized
VCS3409,Mianning2 Water Management with Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
VCS3711,DRC REDD+ Carbon Credit Harvesting Project,VM0009,VM0009 Methodology for Avoided Ecosystem Conversion,Africa,VCS,Agriculture Forestry and Other Land Use,R.E.D.D. Carbon Credit Harvesting L.P,No,REDD+, 
GS2697,Guizhou Kaiyang Nanjiang Hydropower Station Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,"Small, Low - Impact Hydro",Caspervandertak Consulting B.V.,No,Hydropower,Hydropower
VCS304,Fundao Santa-Clara Energetic Complex Project (FSCECP),ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Latin America,VCS,Energy industries (renewable/non-renewable sources),Centrais Eletricas do Rio Jordao S.A. - ELEJOR,No,RE Bundled, 
GS1006,Highveld Air Quality - Highveld Central Project,GS Alternative Ignition Coal Fires,"GS Programme, baseline and monitoring methodology for the introduction of an alternative ignition technique as measure to improve the energy efficiency of domestic coal fires", ,GOLD,Energy Efficiency - Domestic,QK TS Pvt. Ltd.,No,Cookstoves,Cookstoves
VCS2611,CORAZÓN VERDE DEL CHACO PROJECT,VM0007,VM0007 REDD+ Methodology Framework (REDD-MF),Latin America,VCS,Agriculture Forestry and Other Land Use,Quadriz Paraguay S.A.,No,REDD+, 
VCS3980,Xinjiang Muge Swine Farm Manure Management System GHG Mitigation Project,ACM0010,"ACM0010 GHG emission reductions from manure management systems
",Asia,VCS,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal","Aksu Xingjiang Muge FOOD Co., Ltd.",No,Manure Methane Digester, 
GS4967,Gokdag Wind Power Plant ,Other,Other, ,GOLD,Wind,Sekans Danismanlik,No,Wind,Wind
ACR732,Scott River Shackleford IFM Project,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands, ,ACR,Forest Carbon,"EFM Investments & Advisory, Inc.",No,Improved Forest Management,Improved Forest Management
VCS865,"MY08-WWP-26, METHANE RECOVERY IN WASTEWATER TREATMENT PAHANG, MALAYSIA",AMS-III.H.,AMS-III.H. Methane recovery in wastewater treatment,Asia,VCS,Waste handling and disposal,AES AgriVerde Ltd.,No,Methane Recovery in Wastewater,Methane Recovery in Wastewater
VCS231,"Westfalen 6, Utilization of Coal-Mine-Methane", , , ,VCS,Mining/mineral production,Carbon-TF B.V.,No,Mine Methane Capture,Mine Methane Capture
GS11636,NREA Zaafarana 50 MW Solar PV Park,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Other,First Climate (Switzerland) AG,No,Solar - Centralized, 
VCS1169,EPM Grouped Natural Gas Project,ACM0009,ACM0009 Fuel switching from coal or petroleum fuel to natural gas,Latin America,VCS,Energy industries (renewable/non-renewable sources); Manufacturing industries,Empresas Publicas de Medellin S.A,No,Fuel Switching,Fuel Switching
VCS1056,CECIC Zhangbei Gaojialiang Wind farm Project.,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"CECIC Wind Power (Zhangbei) Yunwei Co., Ltd",No,Wind,Wind
VCS1004,Yamanli II Hydroelectric Power Plant,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Enerjisa Enerji Uretim  A.S.,No,Hydropower,Hydropower
CAR1314,Finite Carbon - Spokane Tribe of Indians IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,CAR,Improved Forest Management - ARB Compliance,Spokane Tribe of Indians,Compliance,Improved Forest Management,Improved Forest Management
ACR623,Foam Blowing Agent Project 002F,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use, ,ACR,Industrial Process Emissions,297,No,HFC Replacement in Foam Production,HFC Replacement in Foam Production
