project_id,project_name,methodology,region,voluntary_registry,project_type_from_the_registry,project_developer,arb_wa_project,project_type
ACR196,RR ACR 2013,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"RapRec Refrigerants, Inc.",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR197,San Juan National Forest Carbon Demonstration Project (II),ACR Afforestation and Reforestation of Degraded Lands,North America,ACR,Forest Carbon,National Forest Foundation,No,Afforestation/Reforestation
ACR198,Wabashco Clean Sweep 2,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Wabashco, LLC",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR200,Brush Creek,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,ARB Compliance,Improved Forest Management
ACR202,Blue Source- Goodman Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,ARB Compliance,Improved Forest Management
ACR203,2014-P5,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,No,Ozone Depleting Substances Recovery & Destruction
ACR204,Improvements in Vehicle Efficiency for Marten Transport,AMS-III.BC. Emission reductions through improved efficiency of vehicle fleets,North America,ACR,Transport / Fleet Efficiency,"Truckers Carbon Exchange, Inc.",No,Fleet Efficiency
ACR205,Emission Reductions in California Rice Management Systems,ACR Emission Reductions in Rice Management Systems,North America,ACR,Agricultural Land Management,Terra Global Capital,No,Rice Emission Reductions
ACR206,2014-P4,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR207,Improvements in Vehicle Efficiency for Crete Carrier Corp,AMS-III.BC. Emission reductions through improved efficiency of vehicle fleets,North America,ACR,Transport / Fleet Efficiency,"Truckers Carbon Exchange, Inc.",No,Fleet Efficiency
ACR208,RR ACR 2014,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"RapRec Refrigerants, Inc.",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR209,Finite Carbon - Weyerhaeuser Company IFM 1,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Weyerhaeuser Company,No,Improved Forest Management
ACR210,Huron Mountain Club Forest Carbon Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Huron Mountain Club,ARB Compliance,Improved Forest Management
ACR211,White Mountain Apache Tribe Forest Carbon Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,White Mountain Apache Tribe,ARB Compliance,Improved Forest Management
ACR214,EOS ACR 214,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR216,Renewable Energy Project in the State of Ceará,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,Latin America and the Caribbean,ACR,Fuel Switching,Sustainable Carbon - Projetos Ambientais Ltda.,No,Biomass
ACR217,São Luís Renewable Energy Project,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,Latin America and the Caribbean,ACR,Fuel Switching,Sustainable Carbon - Projetos Ambientais Ltda.,No,Biomass
ACR219,Low Carbon Agriculture: Composting Project in Brazil,ACM0010 GHG emission reductions from manure management systems,Latin America and the Caribbean,ACR,Livestock Waste Management,Sustainable Carbon - Projetos Ambientais Ltda.,No,Composting
ACR220,Araripina Renewable Energy Project,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,Latin America and the Caribbean,ACR,Fuel Switching,Sustainable Carbon - Projetos Ambientais Ltda.,No,Biomass
ACR222,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,ACR Avoided Conversion of Grasslands and Shrublands to Crop Production,North America,ACR,Agricultural Land Management,"Ducks Unlimited, Inc.",No,Avoided Grassland Conversion
ACR224,"SANTOS ENERGIA WIND POWER COMPLEX: SANTO ANTÔNIO DE PÁDUA, SÃO CRISTÓVÃO AND SÃO JORGE",ACM0002 Grid-connected electricity generation from renewable sources,Latin America and the Caribbean,ACR,Renewable Energy,SANTOS ENERGIA PARTICIPAÇÕES S.A.,No,Wind
ACR226,Marshall County VAM Abatement Project,ARB Compliance Offset Protocol: Mine Methane Capture Projects,North America,ACR,Coal Mine Methane,"NextEra Energy Marketing, LLC",ARB Compliance,Mine Methane Capture
ACR229,RR ACR 2014 768,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"RapRec Refrigerants, Inc.",No,Ozone Depleting Substances Recovery & Destruction
ACR230,Emission Reductions in Midsouth Rice Management Systems,ACR Emission Reductions in Rice Management Systems,North America,ACR,Agricultural Land Management,Terra Global Capital,No,Rice Emission Reductions
ACR231,Emission Reductions in California Rice Management Systems – System 2,ACR Emission Reductions in Rice Management Systems,North America,ACR,Agricultural Land Management,Terra Global Capital,No,Rice Emission Reductions
ACR232,The Dry Creek Dairy Biofactory Project,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR234,Alliance Dairy,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"3Degrees Group, Inc.",ARB Compliance,Manure Methane Digester
ACR235,"Synergy Biogas, LLC",ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"3Degrees Group, Inc.",ARB Compliance,Manure Methane Digester
ACR236,Green Meadow Farm,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR238,Willet Dairy,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR239,"Edaleen Cow Power, LLC",ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR240,EOS ACR 240,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR241,Gardeau Crest Dairy,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,ARB Compliance Offset Protocol: Mine Methane Capture Projects,North America,ACR,Coal Mine Methane,Vessels Carbon Solutions,ARB Compliance,Mine Methane Capture
ACR243,Elk Creek Coal Mine Methane Destruction & Utilization Project,ARB Compliance Offset Protocol: Mine Methane Capture Projects,North America,ACR,Coal Mine Methane,Vessels Carbon Solutions,ARB Compliance,Mine Methane Capture
ACR244,Wabashco Clean Sweep 5,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Wabashco, LLC",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR246,Devil Fire Reforestation Compliance Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,"W. M. Beaty & Associates, Inc.",ARB Compliance,Afforestation/Reforestation
ACR247,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Aurora Sustainable Lands LLC,ARB Compliance,Improved Forest Management
ACR248,Cumberland Forest Highlands IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,The Nature Conservancy,ARB Compliance,Improved Forest Management
ACR249,Finite Carbon - Lyme Wyoming IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,The Lyme Timber Company,ARB Compliance,Improved Forest Management
ACR250,Clear Heart,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,No,Improved Forest Management
ACR253,EOS ACR 253,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR254,Wabashco Clean Sweep 6,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Wabashco, LLC",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR255,Finite Carbon - Colville IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Confederated Tribes of the colville Reservation,ARB Compliance,Improved Forest Management
ACR256,Finite Carbon - Tennessee River Gorge Trust IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Tennessee River Gorge Trust,ARB Compliance,Improved Forest Management
ACR257,Finite Carbon - Cook's Branch Conservancy IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,"Conservancy Management, LLC.",ARB Compliance,Improved Forest Management
ACR259,Homestead Green Energy,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"3Degrees Group, Inc.",ARB Compliance,Manure Methane Digester
ACR260,Warm Springs Phase I,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Era Ecosystem Services,ARB Compliance,Improved Forest Management
ACR262,Bewley Ranches,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Ross Bewley,ARB Compliance,Improved Forest Management
ACR264,"Truck Stop Electrification, New York",ACR Truck Stop Electrification,North America,ACR,Transport / Fleet Efficiency,IdleAir,No,Truck Stop Electrification
ACR265,Green Assets - Lukens Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,ARB Compliance,Avoided Forest Conversion
ACR266,Green Assets - Milbury Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,ARB Compliance,Avoided Forest Conversion
ACR267,Blue Source - Powellton Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,ARB Compliance,Improved Forest Management
ACR268,Green Assets - HMWCF-I Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,ARB Compliance,Avoided Forest Conversion
ACR269,Green Assets - HMWCF-II Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,ARB Compliance,Avoided Forest Conversion
ACR270,Green Assets - HMWCF-III Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,No,Avoided Forest Conversion
ACR271,EOS ACR 271,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR272,Bear Creek Watershed Forest Carbon Project,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,North America,ACR,Forest Carbon,City of Astoria,No,Improved Forest Management
ACR274,Green Diamond Resource Company Klamath West IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,277,ARB Compliance,Improved Forest Management
ACR275,Wabashco Clean Sweep 7,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,"Wabashco, LLC",ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR276,Blue Source - Allegheny Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,ARB Compliance,Improved Forest Management
ACR277,Blue Source – Boone Forestlands Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR278,Blue Source – Elk Forest Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR279,Cumberland Forest - Lonesome Pine Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,The Nature Conservancy,ARB Compliance,Improved Forest Management
ACR281,Blue Source - Wisconsin Northern Highlands Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,ARB Compliance,Improved Forest Management
ACR282,Blue Creek,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,282,ARB Compliance,Improved Forest Management
ACR283,Rosendale Anaerobic Digester,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,North America,ACR,Livestock Waste Management,"Camco Offsets I, LLC",ARB Compliance,Manure Methane Digester
ACR285,EOS ACR 285,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,ACR,Ozone Depleting Substances,EOS Climate Inc,ARB Compliance,Ozone Depleting Substances Recovery & Destruction
ACR286,Finite Carbon - KRP Timberlands IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,"Timberlands, LLC",No,Improved Forest Management
ACR287,Green Assets - BJT Avoided Conversion Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,169,ARB Compliance,Avoided Forest Conversion
ACR289,Blue Source- Red Hill West Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR290,Finite Carbon - Emory River Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,The Lyme Timber Company,No,Improved Forest Management
ACR292,Congaree River,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Congaree River LLC,ARB Compliance,Improved Forest Management
ACR293,Finite Carbon - Lakes Region Conservation Trust IFM,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Lakes Region Conservation Trust,ARB Compliance,Improved Forest Management
ACR296,Blue Source - ORM McCloud Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR298,Blue Source - Hancock McCloud Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR300,Blue Source-Gilchrist Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR301,Blue Source-Lafayette Improved Forest Management Project,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,Blue Source,No,Improved Forest Management
ACR302,White Mountain Apache Tribe Carbon Project (original II),ARB Compliance Offset Protocol: U.S. Forest Projects,North America,ACR,Forest Carbon,White Mountain Apache Tribe,No,Improved Forest Management
