project_id,project_name,methodologyorprotocol,fully_harmonized_methodologyorprotocol,region,voluntary_registry,type_from_registry,project_developer,arborwa_project,type,rule-based_type_mapping_first
GS11023,GS5047 VPA87 African Improved Cookstoves and Clean Water Programme: Gishwati – Mukura Forest Conservation Project XV,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Likano Project Development GmbH,No,Bundled Energy Efficiency, 
GS6021,Wind Power Project by Mangalam Fashions Limited & Group in Andhra Pradesh,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,Wind,EKI Energy Services Limited,No,Wind,Wind
GS10778,GS1340 Efficient cookstoves in Burkina Faso - VPA-14 - Improved Cookstove F3PA project in Nahouri ,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,Tiipaalga,No,Cookstoves,Cookstoves
VCS215,"Lothringen 6, Utilization of Coal-Mine-Methane",AMS-III.D.,AMS-III.D. Methane recovery in animal manure management systems, ,VCS,Mining/mineral production,Carbon-TF B.V.,No,Mine Methane Capture,Mine Methane Capture
GS1890,Bac Lieu Province Wind Power Plant,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Swiss Carbon Assets Ltd.,No,Wind,Wind
VCS2402,Linshu Biogas Recovery and Power Generation Project,ACM0014,ACM0014 Treatment of wastewater,Asia,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,VPOWER New Energy Technology (LinYi) LTD,No,Methane Recovery in Wastewater,Methane Recovery in Wastewater
GS1226,CPA No. 001 “SAMUHA”,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,SSS-NIRE,No,Cookstoves, 
VCS1159,"14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan, India.",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Gangadhar Narsingdas Agrawal (HUF),No,Wind,Wind
ACR649,Hudson Tech 2021-2,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,Hudson Technologies Company,Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
VCS1934,"Patikari Hydro Electric Power Project in Distt-Mandi, Himachal Pradesh, India",ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Patikari Power Private Limited,No,Hydropower,Hydropower
VCS1397,Reforestation of pasture lands on the Peruvian Northern Andes – “Forestry PRODICOM” Grouped Project,AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,Multiple Proponents,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS122,17.45 MW Bundled Wind Power Project in India,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Wind,Wind
CAR833,Pure Chem Domestic ODS Destruction Project #5,CAR U.S. Ozone Depleting Substances Protocol,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,CAR,Ozone Depleting Substances - U.S.,Pure Chem Separation LP,Early Action,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
GS11609,Top Third Ventures Stove Programme CPA KE0003 – BURN Efficient Cookstoves for Kenya supported by Republic of Korea,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,Burn Manufacturing Co.,No,Cookstoves, 
VCS1286,Ishasha 6.6 MW Small Hydropower Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Africa,VCS,Energy industries (renewable/non-renewable sources),Multiple Proponents,No,Hydropower,Hydropower
CAR444,Erie County Landfill,CAR U.S. Landfill Protocol,CAR U.S. Landfill Protocol, ,CAR,Landfill Gas Capture/Combustion,"Renewable Energy Services of Ohio, LLC",No,Landfill Methane,Landfill Methane
GS12536,PowerUP Smart Electric Stoves for Clean Air-Uganda-VPA10,Methodology for Metered & Measured Energy Cooking Devices,GS Methodology for Metered and Measured Energy Cooking Devices, ,GOLD,Energy Efficiency - Domestic,PowerUp,No,Cookstoves,Cookstoves
GS11215,100 MW Solar project in Bhadla in Rajasthan,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Solar Thermal - Electricity,Emergent Ventures India Private Limited,No,Solar - Centralized,Solar - Centralized
VCS2909,Adjusted Water Management in Rice Cultivation In Yingcheng City,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
VCS1249,CGN Kashi Yingjisha Phase I 20MWp Grid-connected PV Power Plant Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"CGN Solar Power Development Co., LTD",No,Solar - Centralized, 
VCS473,Henan Nanyang Fangcheng Wind Farm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,VCS,Energy industries (renewable/non-renewable sources),Zhongdiantou Nanyang  Fangcheng Wind Power Co. Ltd,No,Wind,Wind
ACR366,HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2015,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use, ,ACR,Industrial Process Emissions,318,No,HFC Replacement in Foam Production,HFC Replacement in Foam Production
ACR582,Hudson Tech 2020-4,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,Hudson Technologies Company,Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
GS12046,Clean Cooking and Safe Water PoA in India by EcoAct ,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,EcoAct,No,Bundled Energy Efficiency, 
ACR193,EOS ARB ODS 2013-7,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,EOS Climate Inc,Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
VCS4187,Floating Solar project of Greenam Energy,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Greenam Energy Private Limited,No,Solar - Centralized, 
CAR1141,Van Eck Forest,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,CAR,Improved Forest Management - ARB Compliance,Fred M Van Eck Forest Foundation for Purdue University,Compliance,Improved Forest Management,Improved Forest Management
CAR1604,El Chichonal,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,Toroto SAPI de CV,No,Improved Forest Management,Improved Forest Management
CAR817,Tangipahoa GHG Project,CAR U.S. Landfill Protocol,CAR U.S. Landfill Protocol, ,CAR,Landfill Gas Capture/Combustion,Tangipahoa Parish Government,No,Landfill Methane,Landfill Methane
GS1104,Zhongshan County Micro Hydro Project Bundle No.6,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,"Small, Low - Impact Hydro",Swiss Carbon Value Ltd.,No,Hydropower,Hydropower
VCS265,"4.5 MW Grouped Small Hydropower Projects for Grid system by Bhoruka Power Corporation Limited in Karnataka State, India.",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Bhoruka Power Corporation Limited,No,Hydropower,Hydropower
VCS4245,Biogas to electricity generation group project in India,AMS-I.F.;AMS-III.D.,AMS-I.F. Renewable electricity generation for captive use and mini-grid;AMS-III.D. Methane recovery in animal manure management systems,Asia,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,EKI Energy Services Limited,No,Biomass, 
CAR1610,C.P. Lagunita de San Diego,CAR Mexico Forest Protocol,CAR Mexico Forest Protocol, ,CAR,Forestry - MX,Bioforestal Innovación Sustentable S.C.,No,Improved Forest Management,Improved Forest Management
VCS726,"Lamas III-IV 37.3 MW Hydroelectric Power Plant Project, Turkey",ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Middle East,VCS,Energy industries (renewable/non-renewable sources),TGT Enerji Üretim ve Tic. A.Ş.,No,Hydropower,Hydropower
GS4270,GS1366 Micro Energy PoA VPA 5 BioLite Improved Stove Programme India,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Biolite Inc,No,Cookstoves, 
GS11333,Swine Farm Animal Manure Management System GHG Mitigation Project in Hubei Province ,ACM0010,"ACM0010 GHG emission reductions from manure management systems
", ,GOLD,Biogas - Electricity,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,No,Manure Methane Digester, 
GS6063,GS5047 VPA20 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Rubavu III,Other,Other, ,GOLD,Energy Efficiency - Domestic,Likano Project Development GmbH,No,Cookstoves, 
GS4640,Karabel Wind Power Plant,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation, ,GOLD,Wind,Egener Elektrik Ãœretim ve Makine Sanayi Ticaret Anonim Sirketi,No,Wind,Wind
VCS2136,cancelled duplicate of VCSR218,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,VCS,Energy industries (renewable/non-renewable sources),MER,No,Wind, 
VCS3420,Lancheng Water Management with Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
VCS498,"Grid-connected wind electricity generation project in Tamil Nadu, India",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),National Enterprises,No,Wind,Wind
GS10899,Up Energy Improved Cookstoves Programme Uganda – CPA No 001,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,UpEnergy Group,No,Cookstoves, 
VCS4457,Tramontana ICS-01 - The Distribution of Improved Cookstoves to Indigenous Communities across Rural India,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Asia,VCS,Energy demand,Tramontana Impact Limited,No,Cookstoves, 
VCS1996,GENNEIA SOLAR PROJECTS IN  ARGENTINA,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Latin America,VCS,Energy industries (renewable/non-renewable sources),GENNEIA S.A.,No,Solar - Centralized, 
ACR853,Doyon Ts'ebaa North,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands, ,ACR,Forest Carbon,"Doyon, Limited",No,Improved Forest Management,Improved Forest Management
VCS4808,Energy Efficiency Measures Across Commercial Buildings in India by SJPL 001,AMS-II.E.,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Asia,VCS,Energy demand,Smart Joules,No,Energy Efficiency, 
VCS4727,Rabo Carbon Bank Trees for Farmers (TFF) Brazil ARR Grouped Project,VM0047,"VM0047 Afforestation, Reforestation, and Revegetation",Latin America,VCS,Agriculture Forestry and Other Land Use,Coöperatieve Rabobank U.A,No,Afforestation/Reforestation,Afforestation/Reforestation
GS12306,India Rice Carbon Project - Focused on Direct Seeded Rice along with some TPR + AWD Fields,CDM METHODOLOGY - AMS-III.AU “METHANE EMISSION REDUCTION BY ADJUSTED WATER MANAGEMENT PRACTICE IN RICE CULTIVATION,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation, ,GOLD,Other,​Suhas Joshi,No,Rice Emission Reductions,Rice Emission Reductions
VCS504,Hainan Danzhou Eman Wind Power Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Hainan Longyuan Wind Power Co. Ltd.,No,Wind,Wind
VCS949,Guodian Linghai Qingsong Wind Farm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"Guodian Linghai Wind Power Co., Ltd",No,Wind,Wind
CAR1822,Kings Grove,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,CAR,Improved Forest Management - ARB Compliance,"The Kings Grove, Inc.",No,Improved Forest Management,Improved Forest Management
GS3007,Sodo Ethiopia ,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,GS Methodology for Afforestation/Reforestation GHG Emissions Reduction and Sequestration, ,GOLD,A/R,World Vision Australia,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS3662,15 MW Nam Hinboun Downstream Hydropower Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Rasita Power Co. Ltd.,No,Hydropower,Hydropower
GS2497,Kurtkayasi Wind Power Plant,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Cagla Balci Eris,No,Wind,Wind
VCS4220,Malatya 2 Landfill Gas Power Plant Project,ACM0001,ACM0001 Flaring or use of landfill gas,Middle East,VCS,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Multiple Proponents,No,Landfill Methane,Landfill Methane
GS11992,Naafa Cookstove Project  ,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,EcoAct,No,Cookstoves, 
VCS1676,Çiçekli HEPP Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Middle East,VCS,Energy industries (renewable/non-renewable sources),Kurtal Elektrik Uretim A.S.,No,Hydropower,Hydropower
VCS3338,Yan’an Wuqi Afforestation Project,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Asia,VCS,Agriculture Forestry and Other Land Use,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,No,Afforestation/Reforestation,Afforestation/Reforestation
ACR835,Spray Foam Alpha 4,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use, ,ACR,Industrial Process Emissions,"1st Climate Solutions DBA Brian R. Anderson, Inc.",No,HFC Replacement in Foam Production,HFC Replacement in Foam Production
VCS4771,Xinjiang Kalamaili Improved Grassland Management Project,VM0026,VM0026 Methodology for Sustainable Grassland Management (SGM), ,VCS,Agriculture Forestry and Other Land Use,"Xinjiang Fuyun County State-owned Assets Investment Management Co., Ltd.",No,Sustainable Grassland Management,Sustainable Grassland Management
ACR560,Mine 84 Abandoned Mine Methane Recovery Project,ARB Compliance Offset Protocol: Mine Methane Capture Projects,ARB Compliance Offset Protocol: Mine Methane Capture Projects, ,ACR,Coal Mine Methane,Keyrock Environment LLC,Compliance,Mine Methane Capture,Mine Methane Capture
VCS3708,Hebei Improved Cropland Management Project Phase I,VM0042,VM0042 Methodology for Improved Agricultural Land Management,Asia,VCS,Agriculture Forestry and Other Land Use,"Shanghai Agro-Services Co., Ltd",No,Sustainable Agriculture, 
GS695,Energy Efficiency Improvement by introducing Micro-Irrigation Systems (MIS) in Banana Cultivation Jalgaon District Maharashtra, , , ,GOLD,Energy Efficiency - Agriculture Sector,ClimateCare Limited,No,Improved Irrigation Management, 
ACR224,"SANTOS ENERGIA WIND POWER COMPLEX: SANTO ANTÔNIO DE PÁDUA, SÃO CRISTÓVÃO AND SÃO JORGE",ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,ACR,Renewable Energy,SANTOS ENERGIA PARTICIPAÇÕES S.A.,No,Wind,Wind
VCS2350,Installation of high efficiency wood burning cookstoves in Uganda,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,Africa,VCS,Energy demand,Multiple Proponents,No,Cookstoves, 
VCS4236,Anew Agri-carbon Aggregation 1,VM0042,VM0042 Methodology for Improved Agricultural Land Management,North America,VCS,Agriculture Forestry and Other Land Use,Anew Carbon Farming LLC,No,Sustainable Agriculture, 
VCS1066,Damlapinar Hydroelectric Power Plant Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Middle East,VCS,Energy industries (renewable/non-renewable sources),Cenay Elektrik Uretim Ins.San. ve Tic. Ltd,No,Hydropower,Hydropower
GS5032,GS1205 Sustainable Energy for Development PoA VPA 9: Improved cook stove project in Chad,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Initiative Developpement,No,Cookstoves, 
ACR343,Wabashco Clean Sweep 9,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks, ,ACR,Ozone Depleting Substances,"Wabashco, LLC",Compliance,Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
GS1301,Zincirli Wind Power Plant, , , ,GOLD,Wind,Rea Elektrik Uretim Ticaret ve Sanayi Ltd. Sti.,No,Wind,Wind
CAR944,Vanderhyde Dairy,CAR U.S. Livestock Protocol,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems, ,CAR,Livestock Gas Capture/Combustion,"Camco International Group, Inc.",Early Action,Manure Methane Digester,Manure Methane Digester
GS11336,Shuangbaotai Animal Manure Management System GHG Mitigation Project in Guangxi Province,ACM0010,"ACM0010 GHG emission reductions from manure management systems
", ,GOLD,Biogas - Electricity,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,No,Manure Methane Digester, 
VCS2338,"TIST Program in Kenya, VCS-CCB 010",AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,Africa,VCS,Agriculture Forestry and Other Land Use,Clean Air Action Corporation,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS2365,Integrated Project for Reforestation and Agroforestry on Degraded lands in Nicaragua,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,MLR Forestal de Nicaragua S.A.,No,Afforestation/Reforestation,Afforestation/Reforestation
GS11736,CTR São Gonçalo landfill gas project ,ACM0001,ACM0001 Flaring or use of landfill gas, ,GOLD,Other,ORIZON VALORIZACAO DE RESIDUOS S.A,No,Landfill Methane,Landfill Methane
CAR1216,Twin Lakes Forest Project,ARB Compliance Offset Protocol: U.S. Forest Projects,ARB Compliance Offset Protocol: U.S. Forest Projects, ,CAR,Improved Forest Management - ARB Compliance,The Conservation Fund,No,Improved Forest Management,Improved Forest Management
GS10798,Wind Power Project At Sea – No.5 Wind Power Plant Thanh Hai 1-4,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,Wind,Swiss Carbon Value Ltd.,No,Wind,Wind
VCS1185,Suman Sarwari Hydro Electric Project.,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),M/S Usaka Hydro Powers Pvt Ltd,No,Hydropower,Hydropower
