project_id,project_name,voluntary_registry,voluntary_status,reduction_removal,project_type_from_the_registry,region,country,state,project_site_location,project_developer,arborwaproject,arb_project_type,version_string,arb_harmonized_methodology,car_harmonized_methodology,methodology_protocol,harmonized_methodology_protocol,fully_harmonized_methodology_protocol,rule_based_type_mapping_list,rule_based_type_mapping_first,vrod_v11_type
ACR475,A-Gas 2019-7,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR497,A-Gas 2019-8,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR503,A-Gas 2019-9,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR496,A-Gas 2019-Misc,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR533,A-Gas 3-2020,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,Compliance,ODS,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(0, 'Ozone Depleting Substances Recovery & Destruction'), (58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR961,A-Gas 3-2023,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects (ODS),ECY Compliance Offset Protocol: Ozone Depleting Substances Projects (ODS),[],,Ozone Depleting Substances Recovery & Destruction
ACR1007,A-Gas 3-2023B,ACR,,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,"[(58, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR849,A-Gas ODS-VER1,ACR,Completed,,Ozone Depleting Substances,,US,OHIO,"1100 Haskins Rd Bowling Green, OH 43402",A-Gas US Inc.,No,,,,,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,ACR Destruction of Ozone Depleting Substances and High-GWP Foam,ACR Destruction of Ozone Depleting Substances and High-GWP Foam,"[(52, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR933,A-Gas ODS-VER2,ACR,Completed,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,ACR Destruction of Ozone Depleting Substances and High-GWP Foam,ACR Destruction of Ozone Depleting Substances and High-GWP Foam,"[(52, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR823,A-Gas South Korea 1,ACR,Completed,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,Destruction of Ozone Depleting Substances (ODS) from International Sources,ACR Destruction of Ozone Depleting Substances from International Sources,ACR Destruction of Ozone Depleting Substances from International Sources,"[(53, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR882,A-Gas South Korea 2,ACR,Completed,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,Destruction of Ozone Depleting Substances (ODS) from International Sources,ACR Destruction of Ozone Depleting Substances from International Sources,ACR Destruction of Ozone Depleting Substances from International Sources,"[(53, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR979,A-Gas South Korea 3,ACR,Listed,,Ozone Depleting Substances,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,Destruction of Ozone Depleting Substances (ODS) from International Sources,ACR Destruction of Ozone Depleting Substances from International Sources,ACR Destruction of Ozone Depleting Substances from International Sources,"[(53, 'Ozone Depleting Substances Recovery & Destruction')]",Ozone Depleting Substances Recovery & Destruction,Ozone Depleting Substances Recovery & Destruction
ACR573,A-Gas V1,ACR,Completed,,Industrial Process Emissions,,US,OHIO,"Wood County, Bowling Green, Ohio",A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR775,A-Gas V10,ACR,Completed,,Industrial Process Emissions,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR827,A-Gas V11,ACR,Completed,,Industrial Process Emissions,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR869,A-Gas V12,ACR,Completed,,Industrial Process Emissions,,US,TEXAS,Rhome,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR935,A-Gas V13,ACR,Listed,,Industrial Process Emissions,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR905,A-Gas V14,ACR,Completed,,Industrial Process Emissions,,US,TEXAS,Rhome,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR973,A-Gas V16,ACR,Listed,,Industrial Process Emissions,,US,TEXAS,Rhome,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR583,A-Gas V2,ACR,Completed,,Industrial Process Emissions,,US,OHIO,"Wood County, Bowling Green, Ohio",A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR584,A-Gas V3,ACR,Completed,,Industrial Process Emissions,,US,OHIO,"Wood County, Bowling Green, Ohio",A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR585,A-Gas V4,ACR,Completed,,Industrial Process Emissions,,US,OHIO,"Wood County, Bowling Green, Ohio",A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR646,A-Gas V5,ACR,Completed,,Industrial Process Emissions,,US,OHIO,"Wood County, Bowling Green, Ohio",A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR676,A-Gas V6,ACR,Completed,,Industrial Process Emissions,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR678,A-Gas V7,ACR,Completed,,Industrial Process Emissions,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR773,A-Gas V8,ACR,Completed,,Industrial Process Emissions,,US,TEXAS,Rhome,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR774,A-Gas V9,ACR,Completed,,Industrial Process Emissions,,US,OHIO,Bowling Green,A-Gas US Inc.,No,,,,,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","[(42, 'HFC Refrigerant Reclamation')]",HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
ACR215,Açu Renewable Energy Project,ACR,Canceled,,Fuel Switching,,BR,State of Rio Grande do Norte,"Açu region (municipalities of Açu, Afonso Bezerra, Alto do Rodrigues, Carnaubais, Ipanguaçu, Itajá, Macau, Pendências, Porto do Mangue).",Sustainable Carbon - Projetos Ambientais Ltda.,No,,,,,AMS-I.E.,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user,[],,Biomass
ACR737,Advanced Refrigeration - ARS2019001,ACR,Completed,,Industrial Process Emissions,,US,NEW JERSEY,US(49),Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR747,Advanced Refrigeration - ARS2020001,ACR,Completed,,Industrial Process Emissions,,US,NEW YORK,"777 White Plains Road, Eastchester, NY, USA",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR791,Advanced Refrigeration - ARS2020002,ACR,Completed,,Industrial Process Emissions,,US,CALIFORNIA,"Sacramento, CA",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR813,Advanced Refrigeration - ARS2020003,ACR,Completed,,Industrial Process Emissions,,US,FLORIDA,Tampa,Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR742,Advanced Refrigeration - ARS2021001,ACR,Completed,,Industrial Process Emissions,,US,NEW YORK,"18 Winslow Gate Road, Poughkeepsie",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR830,Advanced Refrigeration - ARS2021002,ACR,Completed,,Industrial Process Emissions,,US,NEW YORK,"1 Stew Leonard Dr #1, Yonkers, NY 10710",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR868,Advanced Refrigeration - ARS2021003,ACR,Completed,,Industrial Process Emissions,,US,MINNESOTA,"4725 Cedar Ave Minneapolis	MN 55407 USA",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR904,Advanced Refrigeration - ARS2021004,ACR,Completed,,Industrial Process Emissions,,US,SOUTH CAROLINA,"Seneca, South Carolina",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR919,Advanced Refrigeration - ARS2021005,ACR,Completed,,Industrial Process Emissions,,US,NORTH CAROLINA,"Wendell, NC",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR815,Advanced Refrigeration - ARS2022001,ACR,Completed,,Industrial Process Emissions,,US,NORTH CAROLINA,"543 12th St Dr NW, Hickory, NC 28601, USA",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR876,Advanced Refrigeration - ARS2022002,ACR,Completed,,Industrial Process Emissions,,US,FLORIDA,Various,Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR1008,Advanced Refrigeration - ARS2022004,ACR,Listed,,Industrial Process Emissions,,US,MISSOURI,"1181 Gannon plaza, Festus, MO",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR929,Advanced Refrigeration - ARS2023001,ACR,Completed,,Industrial Process Emissions,,US,WASHINGTON,"Crown Hill, WA",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR941,Advanced Refrigeration - ARS2023002,ACR,Completed,,Industrial Process Emissions,,US,NEW YORK,Middletown,Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR953,Advanced Refrigeration - ARS2023003,ACR,Completed,,Industrial Process Emissions,,US,KANSAS,"Topeka, KS",Therm Solutions Inc.,No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR526,Advanced Refrigeration CAL - ARS  001B,ACR,Completed,,Industrial Process Emissions,,US,MISSOURI,O'Fallon,"True Manufacturing Co., Inc.",No,,,,,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,"[(43, 'HFC Replacement in Foam Production')]",HFC Replacement in Foam Production,Advanced Refrigerants
ACR528,Advanced Refrigeration CAL - ARS 002B,ACR,Completed,,Industrial Process Emissions,,US,MISSOURI,"O'Fallon, MO","True Manufacturing Co., Inc.",No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR530,Advanced Refrigeration CAL - ARS 003B,ACR,Completed,,Industrial Process Emissions,,US,MISSOURI,"O'Fallon, MO","True Manufacturing Co., Inc.",No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR599,Advanced Refrigeration CAL - ARS 004B,ACR,Completed,,Industrial Process Emissions,,US,MISSOURI,Missouri,"True Manufacturing Co., Inc.",No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR641,Advanced Refrigeration CAL - ARS 005B,ACR,Completed,,Industrial Process Emissions,,US,MISSOURI,Missouri,"True Manufacturing Co., Inc.",No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
ACR707,Advanced Refrigeration CAL - ARS 006B,ACR,Completed,,Industrial Process Emissions,,US,MISSOURI,Missouri,"True Manufacturing Co., Inc.",No,,,,,Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,ACR Advanced Refrigeration Systems,"[(41, 'Advanced Refrigerants')]",Advanced Refrigerants,Advanced Refrigerants
